id,timeframe,computed_at,best_params,net_sharpe,net_return,max_drawdown,n_trades,win_rate,param_grid_size,lookback_days,min_trades,eligible_candidates,total_candidates,status,rejection_reason,max_dd_used,rejected_by_min_trades,rejected_by_max_dd,rejected_by_both,max_trades_seen,best_dd_seen,folds_used,oos_trades,oos_win_rate,worst_fold_dd,rejected_oos_folds
181,15m,2026-03-03 20:03:17.721919+03,"{""r_min"": 0.1, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",0.09320497682924646,0.024715182124781084,0.025806411430241982,20,0.5,243,21,15,237,243,OK,,0.18,0,6,0,70,0.015572601690444715,,,,,
182,30m,2026-03-03 20:03:18.981375+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.01577937966301504,-0.0023520815337797476,0.01763907855667246,3,0.3333333333333333,243,30,8,243,243,OK,,0.2,0,0,0,46,0.020276742695004454,,,,,
183,1m,2026-03-03 21:03:29.475771+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",-0.3303051608205505,-0.012357246576468854,0.011854390610651295,9,0.3333333333333333,243,7,80,243,243,OK,,1.5,0,0,0,416,0.05414530718812059,,,,,
184,5m,2026-03-03 21:03:32.514712+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",0.06347918410253382,0.014589449147183867,0.02236544095660675,36,0.4166666666666667,243,14,30,234,243,OK,,0.3,0,9,0,135,0.011040008388531463,,,,,
185,15m,2026-03-03 21:03:34.128088+03,"{""r_min"": 0.1, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",0.13002931155869937,0.035745295198203915,0.025806411430241982,21,0.5238095238095238,243,21,15,237,243,OK,,0.18,0,6,0,70,0.015572601690444715,,,,,
186,30m,2026-03-03 21:03:35.471626+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.01577937966301504,-0.0023520815337797476,0.01763907855667246,3,0.3333333333333333,243,30,8,243,243,OK,,0.2,0,0,0,46,0.020276742695004454,,,,,
187,1m,2026-03-03 21:41:33.558427+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",-0.3303051608205505,-0.012357246576468854,0.011854390610651295,9,0.3333333333333333,243,7,80,243,243,OK,,1.5,0,0,0,424,0.05414530718812059,,,,,
188,5m,2026-03-03 21:41:36.770188+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.2694359901665973,-0.0574883697236006,0.07149280667045375,26,0.34615384615384615,243,14,30,225,243,OK,,0.3,9,9,0,135,0.010313602757085476,,,,,
189,15m,2026-03-03 21:41:38.258765+03,"{""r_min"": 0.1, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",0.13663292673773542,0.0375180683596883,0.025806411430241982,22,0.5454545454545454,243,21,15,237,243,OK,,0.18,0,6,0,70,0.015572601690444715,,,,,
190,30m,2026-03-03 21:41:39.52221+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.01577937966301504,-0.0023520815337797476,0.01763907855667246,3,0.3333333333333333,243,30,8,243,243,OK,,0.2,0,0,0,47,0.020276742695004454,,,,,
191,1m,2026-03-03 21:53:17.096651+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",-0.3303051608205505,-0.012357246576468854,0.011854390610651295,9,0.3333333333333333,243,7,80,243,243,OK,,1.5,0,0,0,430,0.05414530718812059,,,,,
192,5m,2026-03-03 21:53:20.860326+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.2753425491847552,-0.05785402063043253,0.07287971159333573,26,0.34615384615384615,243,14,30,228,243,OK,,0.3,9,6,0,135,0.010313602757085476,,,,,
193,15m,2026-03-03 21:53:23.019369+03,"{""r_min"": 0.1, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",-0.047343158511953816,-0.013547293162922129,0.05789293966706521,22,0.3181818181818182,243,21,15,237,243,OK,,0.18,0,6,0,70,0.015572601690444715,,,,,
195,1m,2026-03-03 22:26:56.379787+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",-0.3303051608205505,-0.012357246576468854,0.011854390610651295,9,0.3333333333333333,243,7,80,243,243,OK,,1.5,0,0,0,430,0.05414530718812059,,,,,
196,5m,2026-03-03 22:27:00.028984+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.2753425491847552,-0.05785402063043253,0.07287971159333573,26,0.34615384615384615,243,14,30,228,243,OK,,0.3,9,6,0,131,0.010313602757085476,,,,,
197,15m,2026-03-03 22:27:01.911727+03,"{""r_min"": 0.1, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",-0.04545755431599877,-0.0129842569754881,0.05789293966706521,22,0.3181818181818182,243,21,15,237,243,OK,,0.18,0,6,0,70,0.015572601690444715,,,,,
198,30m,2026-03-03 22:27:03.985797+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.01577937966301504,-0.0023520815337797476,0.01763907855667246,3,0.3333333333333333,243,30,8,243,243,OK,,0.2,0,0,0,47,0.020276742695004454,,,,,
199,1m,2026-03-03 23:06:34.18929+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 300}",-0.2011683356223272,-0.03643477197455677,0.05822102608017131,100,0.31,243,7,80,108,243,OK,,1.5,216,0,0,429,0.013552705057635284,2,100,0.31,0.05822102608017131,135
200,5m,2026-03-03 23:06:46.860798+03,"{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}",0,0,0,0,0,243,14,30,0,243,NO_VALID_PARAMS,"Walk-forward (5 folds, 5 valid) — no eligible candidates. IS: rej_mt=576 rej_dd=12 rej_both=0. OOS: rej_folds=243 (need >=3 folds with >=15 OOS trades each).",0.3,576,12,0,152,0,0,0,0,0,243
201,15m,2026-03-03 23:06:57.741418+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.95, ""quantile_lo"": 0.05, ""quantile_window"": 150}",0.048767001030071776,0.008459713810186257,0.04805057445254301,37,0.35135135135135137,243,21,15,54,243,OK,,0.18,585,15,0,94,0,3,37,0.35135135135135137,0.04805057445254301,189
202,30m,2026-03-03 23:07:02.430973+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0.18006552548632698,0.026121692414344033,0.01457242312914786,14,0.5714285714285714,243,30,8,63,243,OK,,0.2,639,0,0,74,0,2,14,0.5714285714285714,0.01457242312914786,180
203,1m,2026-03-03 23:38:38.929607+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 300}",-0.20816563481571848,-0.03873977658696212,0.06390649337342245,100,0.31,243,7,80,99,243,OK,,1.5,234,0,0,427,0.013552705057635284,2,100,0.31,0.06390649337342245,144
204,5m,2026-03-03 23:38:52.127348+03,"{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}",0,0,0,0,0,243,14,30,0,243,NO_VALID_PARAMS,"Walk-forward (5 folds, 5 valid) — no eligible candidates. IS: rej_mt=576 rej_dd=12 rej_both=0. OOS: rej_folds=243 (need >=3 folds with >=15 OOS trades each).",0.3,576,12,0,152,0,0,0,0,0,243
205,15m,2026-03-03 23:38:58.922553+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 3, ""quantile_hi"": 0.95, ""quantile_lo"": 0.05, ""quantile_window"": 150}",0.048767001030071776,0.008459713810186257,0.04805057445254301,37,0.35135135135135137,243,21,15,48,243,OK,,0.18,576,15,0,94,0,3,37,0.35135135135135137,0.04805057445254301,195
206,30m,2026-03-03 23:39:03.433505+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0.18006552548632698,0.026121692414344033,0.01457242312914786,14,0.5714285714285714,243,30,8,63,243,OK,,0.2,639,0,0,74,0,2,14,0.5714285714285714,0.01457242312914786,180
207,1m,2026-03-04 00:14:20.83365+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",-0.5243337617310282,-0.0583232652645321,0.10037954018131155,173,0.24277456647398843,243,7,80,24,243,OK,,0.5,504,15,0,218,0.012477503663408829,3,173,0.24277456647398843,0.10037954018131155,219
208,5m,2026-03-04 00:14:33.134887+03,"{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}",0,0,0,0,0,243,14,30,0,243,NO_VALID_PARAMS,"Walk-forward (5 folds, 5 valid) — no eligible candidates. IS: rej_mt=864 rej_dd=0 rej_both=0. OOS: rej_folds=243 (need >=3 folds with >=15 OOS trades each).",0.3,864,0,0,105,0,0,0,0,0,243
209,15m,2026-03-04 00:14:38.835154+03,"{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}",0,0,0,0,0,243,21,15,0,243,NO_VALID_PARAMS,"Walk-forward (5 folds, 5 valid) — no eligible candidates. IS: rej_mt=738 rej_dd=3 rej_both=0. OOS: rej_folds=243 (need >=3 folds with >=8 OOS trades each).",0.18,738,3,0,71,0,0,0,0,0,243
210,30m,2026-03-04 00:14:43.252191+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.0349096258207178,0.008175066315474442,0.01811129023365143,21,0.6190476190476191,243,30,8,27,243,OK,,0.2,675,0,0,68,0,2,21,0.6190476190476191,0.01811129023365143,216
211,1m,2026-03-04 00:34:15.735717+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",-0.5243337617310282,-0.0583232652645321,0.10037954018131155,173,0.24277456647398843,243,7,80,24,243,OK,,0.5,504,15,0,218,0.012477503663408829,3,173,0.24277456647398843,0.10037954018131155,219
212,5m,2026-03-04 00:34:41.608401+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",0.04137124814798342,0.00525566886674407,0.01848612384403492,39,0.4358974358974359,243,45,20,210,243,OK,,0.45,108,24,0,184,0.03973853434037344,2,39,0.4358974358974359,0.01848612384403492,33
213,15m,2026-03-04 00:34:56.139382+03,"{""r_min"": 0.1, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0.17343057910656615,0.007557536361774885,0.007415114708342219,14,0.6428571428571429,243,30,10,99,243,OK,,0.25,306,6,0,82,0.007180501392099026,3,14,0.6428571428571429,0.007415114708342219,144
214,30m,2026-03-04 00:35:01.370992+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.0349096258207178,0.008175066315474442,0.01811129023365143,21,0.6190476190476191,243,30,8,27,243,OK,,0.2,675,0,0,68,0,2,21,0.6190476190476191,0.01811129023365143,216
215,1m,2026-03-04 01:44:15.393894+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",-0.5355504663226409,-0.0666129788336522,0.10037954018131155,132,0.25757575757575757,243,7,80,21,243,OK,,0.5,513,12,0,217,0.012477503663408829,2,132,0.25757575757575757,0.10037954018131155,222
216,5m,2026-03-04 02:01:46.16457+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",0.04137124814798342,0.00525566886674407,0.01848612384403492,39,0.4358974358974359,243,45,20,210,243,OK,,0.45,99,24,0,184,0.03973853434037344,2,39,0.4358974358974359,0.01848612384403492,33
217,15m,2026-03-04 02:02:15.34894+03,"{""r_min"": 0.1, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0.17343057910656615,0.007557536361774885,0.007415114708342219,14,0.6428571428571429,243,30,10,99,243,OK,,0.25,306,6,0,82,0.007180501392099026,3,14,0.6428571428571429,0.007415114708342219,144
