ts,epic,buyers_pct,sellers_pct
2026-03-03 22:32:02.128318+03,ETHUSD,88.41,11.59
2026-03-03 22:32:33.321232+03,ETHUSD,88.6,11.4
2026-03-03 22:33:03.724072+03,ETHUSD,88.6,11.4
2026-03-03 22:33:34.758299+03,ETHUSD,88.6,11.4
2026-03-03 22:34:05.366663+03,ETHUSD,88.6,11.4
2026-03-03 22:34:36.67268+03,ETHUSD,88.6,11.4
2026-03-03 22:35:06.775608+03,ETHUSD,88.6,11.4
2026-03-03 22:35:37.812328+03,ETHUSD,88.6,11.4
2026-03-03 22:36:08.420892+03,ETHUSD,88.6,11.4
2026-03-03 22:36:39.284763+03,ETHUSD,88.6,11.4
2026-03-03 22:37:09.858966+03,ETHUSD,88.6,11.4
2026-03-03 22:37:39.551835+03,ETHUSD,88.6,11.4
2026-03-03 22:38:13.684194+03,ETHUSD,88.6,11.4
2026-03-03 22:38:45.691486+03,ETHUSD,88.46,11.54
2026-03-03 22:39:16.404734+03,ETHUSD,88.46,11.54
2026-03-03 22:39:46.909002+03,ETHUSD,88.46,11.54
2026-03-03 22:40:17.407301+03,ETHUSD,88.46,11.54
2026-03-03 22:40:48.275993+03,ETHUSD,88.46,11.54
2026-03-03 22:41:18.706303+03,ETHUSD,88.46,11.54
2026-03-03 22:41:49.826398+03,ETHUSD,88.46,11.54
2026-03-03 22:42:19.510839+03,ETHUSD,88.46,11.54
2026-03-03 22:42:49.807671+03,ETHUSD,88.46,11.54
2026-03-03 22:43:20.097203+03,ETHUSD,88.46,11.54
2026-03-03 22:43:51.146192+03,ETHUSD,88.46,11.54
2026-03-03 22:44:21.94754+03,ETHUSD,88.46,11.54
2026-03-03 22:44:53.251007+03,ETHUSD,88.46,11.54
2026-03-03 22:45:23.087996+03,ETHUSD,88.46,11.54
2026-03-03 22:45:53.326682+03,ETHUSD,88.56,11.44
2026-03-03 22:46:23.737136+03,ETHUSD,88.56,11.44
2026-03-03 22:46:54.985165+03,ETHUSD,88.56,11.44
2026-03-03 22:47:25.814023+03,ETHUSD,88.56,11.44
2026-03-03 22:47:55.751965+03,ETHUSD,88.56,11.44
2026-03-03 22:48:47.58241+03,ETHUSD,88.56,11.44
2026-03-03 22:49:18.310961+03,ETHUSD,88.56,11.44
2026-03-03 22:49:48.484293+03,ETHUSD,88.56,11.44
2026-03-03 22:50:18.79111+03,ETHUSD,88.56,11.44
