id,timeframe,computed_at,start_time,end_time,rows,latest_close,latest_score,buyers_plus_sellers_mean_abs_diff
3742,30m,2026-03-02 16:35:06.251427+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3743,1m,2026-03-02 16:36:06.767111+03,2026-01-31 02:11:00+03,2026-03-02 16:34:00+03,42899,1936.205,-3.212917434392411,0
3744,5m,2026-03-02 16:36:07.346103+03,2026-01-31 02:10:00+03,2026-03-02 16:30:00+03,8601,1936.205,0.18212135830486048,2.4783492701782357e-17
3745,15m,2026-03-02 16:36:07.638318+03,2026-01-31 02:00:00+03,2026-03-02 16:15:00+03,2892,1933.765,-0.42417088722651847,6.388005231591495e-17
3746,30m,2026-03-02 16:36:07.827174+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3747,1m,2026-03-02 16:37:07.332803+03,2026-01-31 02:11:00+03,2026-03-02 16:35:00+03,42900,1934.885,-0.0443598067864901,0
3748,5m,2026-03-02 16:37:07.852002+03,2026-01-31 02:10:00+03,2026-03-02 16:30:00+03,8601,1936.205,0.18212135830486048,2.4783492701782357e-17
3749,15m,2026-03-02 16:37:08.094188+03,2026-01-31 02:00:00+03,2026-03-02 16:15:00+03,2892,1933.765,-0.42417088722651847,6.388005231591495e-17
3750,30m,2026-03-02 16:37:08.233766+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3751,1m,2026-03-02 16:38:09.742252+03,2026-01-31 02:11:00+03,2026-03-02 16:36:00+03,42901,1938.285,-0.0443598067864901,0
3752,5m,2026-03-02 16:38:10.223235+03,2026-01-31 02:10:00+03,2026-03-02 16:30:00+03,8601,1936.205,0.18212135830486048,2.4783492701782357e-17
3753,15m,2026-03-02 16:38:10.452881+03,2026-01-31 02:00:00+03,2026-03-02 16:15:00+03,2892,1933.765,-0.42417088722651847,6.388005231591495e-17
