id,timeframe,computed_at,regime,signal,confidence,entry_price,stop_loss,take_profit,hold_bars,reason,conf_regime,conf_tail,conf_backtest,rc,ar,score_mr,score_mom,volatility,params_json,outcome,pnl,exit_price,exit_ts,label_computed_at
147,15m,2026-03-03 21:00:16.304514+03,MR,BUY,0.7952,1976.39,1946.15,2001.6,3,"Regime=MR(rc=-0.211,ar=-0.122) | score_mr=-0.770 vs [-0.152,0.330] | conf=0.80",0.8447,1,0.3644,-0.211168,-0.12197,-0.769644,0.000351,0.00736317,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",WIN,0.00418658,1988.655,2026-03-03 21:45:00+03,2026-03-03 23:38:58.976302+03
154,15m,2026-03-03 21:19:31.955768+03,MR,SELL,0.662,1973.47,2002.7,1949.12,3,"Regime=MR(rc=-0.199,ar=-0.126) | score_mr=0.357 vs [-0.230,0.341] | conf=0.66",0.798,0.6255,0.3767,-0.199496,-0.126312,0.357177,0.000126,0.00712608,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",LOSS,-0.0083367,1986.015,2026-03-03 22:00:00+03,2026-03-03 23:38:58.979478+03
184,30m,2026-03-05 20:22:20.64632+03,MR,BUY,0.6454,2073.22,2047.62,2094.56,2,"Regime=MR(rc=-0.138,ar=-0.080) | score_mr=-10.950 vs [-3.428,3.128] | price_z=-0.831(gate|z|>=0.50)✓ | conf=0.65",0.552,1,0.3469,-0.138005,-0.079658,-10.950169,-0.001736,0.00727646,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""price_z"": -0.8312, ""hold_bars"": 2, ""trend_min"": 0.002, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""stretch_z_min"": 0.5, ""trend_strength"": 0.000207, ""quantile_window"": 150}",LOSS,-0.00848193,2059.825,2026-03-05 20:30:00+03,2026-03-05 23:32:57.763475+03
144,15m,2026-03-03 20:50:56.084928+03,MR,BUY,0.7967,1976.39,1946.15,2001.6,3,"Regime=MR(rc=-0.212,ar=-0.122) | score_mr=-0.770 vs [-0.152,0.330] | conf=0.80",0.8476,1,0.3644,-0.211893,-0.12197,-0.769644,0.000351,0.00736317,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",WIN,0.006487,1993.235,2026-03-03 21:30:00+03,2026-03-03 23:38:58.974395+03
148,15m,2026-03-03 21:03:34.155557+03,MR,BUY,0.8136,1980.83,1950.46,2006.13,3,"Regime=MR(rc=-0.219,ar=-0.121) | score_mr=-0.752 vs [-0.230,0.330] | conf=0.81",0.8765,1,0.3767,-0.219135,-0.121365,-0.75156,0.00053,0.00737631,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",WIN,0.00194258,1988.655,2026-03-03 21:45:00+03,2026-03-03 23:38:58.976764+03
150,15m,2026-03-03 21:09:24.890127+03,MR,BUY,0.7991,1980.83,1950.46,2006.13,3,"Regime=MR(rc=-0.212,ar=-0.121) | score_mr=-0.752 vs [-0.230,0.330] | conf=0.80",0.8476,1,0.3767,-0.211893,-0.121365,-0.75156,0.00053,0.00737631,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",WIN,0.00061417,1986.015,2026-03-03 22:00:00+03,2026-03-03 23:38:58.977671+03
155,15m,2026-03-03 21:22:35.619704+03,MR,SELL,0.6595,1973.47,2002.7,1949.12,3,"Regime=MR(rc=-0.198,ar=-0.126) | score_mr=0.357 vs [-0.230,0.341] | conf=0.66",0.793,0.6255,0.3767,-0.198251,-0.126312,0.357177,0.000126,0.00712608,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",LOSS,-0.00849278,1986.325,2026-03-03 22:15:00+03,2026-03-03 23:38:58.979928+03
156,15m,2026-03-03 21:25:38.332294+03,MR,SELL,0.6577,1973.47,2002.7,1949.12,3,"Regime=MR(rc=-0.197,ar=-0.126) | score_mr=0.357 vs [-0.230,0.341] | conf=0.66",0.7895,0.6255,0.3767,-0.197379,-0.126312,0.357177,0.000126,0.00712608,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",LOSS,-0.00849278,1986.325,2026-03-03 22:15:00+03,2026-03-03 23:38:58.980378+03
157,15m,2026-03-03 21:28:39.473738+03,MR,SELL,0.6566,1973.47,2002.7,1949.12,3,"Regime=MR(rc=-0.197,ar=-0.126) | score_mr=0.357 vs [-0.230,0.341] | conf=0.66",0.7873,0.6255,0.3767,-0.196832,-0.126312,0.357177,0.000126,0.00712608,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",LOSS,-0.00849278,1986.325,2026-03-03 22:15:00+03,2026-03-03 23:38:58.98083+03
186,5m,2026-03-05 20:28:22.842614+03,MR,BUY,0.6809,2075.14,2059.84,2087.88,3,"Regime=MR(rc=-0.154,ar=-0.031) | score_mr=-87.333 vs [-0.826,1.682] | price_z=-1.222(gate|z|>=1.00)✓ | conf=0.68",0.6177,1,0.36,-0.154432,-0.031064,-87.332994,-0.000227,0.0035454,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.15, ""price_z"": -1.2216, ""hold_bars"": 3, ""trend_min"": 0.002, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""stretch_z_min"": 1.0, ""trend_strength"": -0.00613, ""quantile_window"": 200}",LOSS,-0.00580214,2067.265,2026-03-05 20:40:00+03,2026-03-05 20:48:32.740307+03
185,30m,2026-03-05 20:25:19.365794+03,MR,BUY,0.6447,2072.4,2046.79,2093.75,2,"Regime=MR(rc=-0.138,ar=-0.081) | score_mr=-16.473 vs [-3.428,3.128] | price_z=-0.850(gate|z|>=0.50)✓ | conf=0.64",0.5506,1,0.3469,-0.137643,-0.080663,-16.472778,-0.001773,0.00728373,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""price_z"": -0.8503, ""hold_bars"": 2, ""trend_min"": 0.002, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""stretch_z_min"": 0.5, ""trend_strength"": 0.000185, ""quantile_window"": 150}",LOSS,-0.00808633,2059.825,2026-03-05 20:30:00+03,2026-03-05 23:32:57.76384+03
145,15m,2026-03-03 20:54:03.371665+03,MR,BUY,0.7985,1976.39,1946.15,2001.6,3,"Regime=MR(rc=-0.213,ar=-0.122) | score_mr=-0.770 vs [-0.152,0.330] | conf=0.80",0.8512,1,0.3644,-0.212792,-0.12197,-0.769644,0.000351,0.00736317,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",WIN,0.00418658,1988.655,2026-03-03 21:45:00+03,2026-03-03 23:38:58.975277+03
153,15m,2026-03-03 21:16:30.57593+03,MR,SELL,0.6631,1973.47,2002.7,1949.12,3,"Regime=MR(rc=-0.200,ar=-0.126) | score_mr=0.357 vs [-0.230,0.341] | conf=0.66",0.8003,0.6255,0.3767,-0.200067,-0.126312,0.357177,0.000126,0.00712608,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 3, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",LOSS,-0.0083367,1986.015,2026-03-03 22:00:00+03,2026-03-03 23:38:58.97904+03
187,30m,2026-03-05 20:28:22.868467+03,MR,BUY,0.647,2075.14,2049.56,2096.45,2,"Regime=MR(rc=-0.139,ar=-0.077) | score_mr=-17.298 vs [-3.428,3.128] | price_z=-0.787(gate|z|>=0.50)✓ | conf=0.65",0.5552,1,0.3469,-0.1388,-0.077284,-17.298172,-0.001648,0.0072637,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""price_z"": -0.7869, ""hold_bars"": 2, ""trend_min"": 0.002, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""stretch_z_min"": 0.5, ""trend_strength"": 0.000258, ""quantile_window"": 150}",LOSS,-0.00940759,2059.825,2026-03-05 20:30:00+03,2026-03-05 23:32:57.764198+03
2,5m,2026-03-02 04:39:27.275113+03,MOM,BUY,0.5667,1984.22,1975.61,2001.45,1,"Regime=MOM(rc=0.256,ar=0.332) | score_mom=0.002177 vs +/-0.001002 | conf=0.57",1,0,0.3333,0.255699,0.332466,0.067195,0.002177,0.00433992,,LOSS,-0.00856564,1971.235,2026-03-02 04:40:00+03,2026-03-03 23:38:52.163143+03
3,5m,2026-03-02 10:26:41.74774+03,MOM,SELL,0.6111,1937.03,1942.14,1926.79,2,"Regime=MOM(rc=0.071,ar=0.122) | score_mom=-0.001127 vs +/-0.001027 | conf=0.61",0.4889,1,0.3333,0.071377,0.122231,-1.618782,-0.001127,0.00264102,,LOSS,-0.00445693,1941.795,2026-03-02 10:35:00+03,2026-03-03 23:38:52.163902+03
4,5m,2026-03-02 10:27:14.598456+03,MOM,SELL,0.6111,1937.03,1942.14,1926.79,2,"Regime=MOM(rc=0.085,ar=0.122) | score_mom=-0.001127 vs +/-0.001027 | conf=0.61",0.4889,1,0.3333,0.085303,0.122231,-1.618782,-0.001127,0.00264102,,LOSS,-0.00445693,1941.795,2026-03-02 10:35:00+03,2026-03-03 23:38:52.164471+03
5,5m,2026-03-02 10:28:15.223774+03,MOM,SELL,0.6111,1937.03,1942.14,1926.79,2,"Regime=MOM(rc=0.107,ar=0.122) | score_mom=-0.001127 vs +/-0.001027 | conf=0.61",0.4889,1,0.3333,0.107072,0.122231,-1.618782,-0.001127,0.00264102,,LOSS,-0.00366869,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.165034+03
6,5m,2026-03-02 10:29:13.966978+03,MOM,SELL,0.6111,1937.03,1942.14,1926.79,2,"Regime=MOM(rc=0.101,ar=0.122) | score_mom=-0.001127 vs +/-0.001027 | conf=0.61",0.4889,1,0.3333,0.100509,0.122231,-1.618782,-0.001127,0.00264102,,LOSS,-0.00366869,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.165671+03
7,5m,2026-03-02 10:30:16.364677+03,MOM,SELL,0.6111,1937.03,1942.14,1926.79,2,"Regime=MOM(rc=0.101,ar=0.122) | score_mom=-0.001127 vs +/-0.001027 | conf=0.61",0.4889,1,0.3333,0.100986,0.122231,-1.618782,-0.001127,0.00264102,,LOSS,-0.00366869,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.166299+03
8,5m,2026-03-02 10:31:16.105794+03,MOM,SELL,0.6451,1936.27,1941.36,1926.07,2,"Regime=MOM(rc=0.111,ar=0.139) | score_mom=-0.001057 vs +/-0.001032 | conf=0.65",0.5568,1,0.3333,0.111247,0.139208,0.193425,-0.001057,0.00263228,,LOSS,-0.00406112,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.166989+03
9,5m,2026-03-02 10:32:16.583878+03,MOM,SELL,0.6451,1936.27,1941.36,1926.07,2,"Regime=MOM(rc=0.116,ar=0.139) | score_mom=-0.001057 vs +/-0.001032 | conf=0.65",0.5568,1,0.3333,0.115831,0.139208,0.193425,-0.001057,0.00263228,,LOSS,-0.00406112,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.167759+03
