"id","timeframe","computed_at","best_params","net_sharpe","net_return","max_drawdown","n_trades","win_rate","param_grid_size","lookback_days","min_trades","eligible_candidates","total_candidates","status","rejection_reason","max_dd_used","rejected_by_min_trades","rejected_by_max_dd","rejected_by_both","max_trades_seen","best_dd_seen"
"153","15m","2026-03-03 13:25:55.331151+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"152","5m","2026-03-03 13:25:44.761496+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"151","1m","2026-03-03 13:25:29.062053+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"150","30m","2026-03-03 12:03:53.875338+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"149","15m","2026-03-03 12:03:48.459954+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"148","5m","2026-03-03 12:03:38.05862+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"147","1m","2026-03-03 12:03:23.003712+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,7,30,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<30, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"146","30m","2026-03-03 11:02:32.67369+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"145","15m","2026-03-03 11:02:26.973791+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,30,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
"144","5m","2026-03-03 11:02:16.571378+03","{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}","0","0","0",0,"0",243,14,20,0,243,"NO_VALID_PARAMS","All 243 candidates rejected: 0 by min_trades<20, 0 by max_dd>0.15, 243 by both. max_trades_seen=0, best_dd_seen=1.0000","0.15",0,0,243,0,"1"
